experiment_id,model,model_revision,dataset_variant,dataset_hash,prompt_version,tokenizer,lora_r,lora_alpha,lora_dropout,learning_rate,epochs,seed,train_records,validation_records,test_records,training_time_sec,peak_vram_mb,best_checkpoint,status
qwen_zero_shot,Qwen2.5-1.5B-Instruct,main,zero_shot,95d684c0940be3475375c69fc99a17f42b424d95ebc5a102cf608fa0889a1b2d,1.0.0,cl100k_base,0,0,0.0,0.0,0,42,0,0,861,0.0,0.0,none,COMPLETED
qwen_raw_lora_r16_lr2e4,Qwen2.5-1.5B-Instruct,main,raw_lora,95d684c0940be3475375c69fc99a17f42b424d95ebc5a102cf608fa0889a1b2d,1.0.0,cl100k_base,16,32,0.05,0.0002,2,42,4037,849,861,0.0,0.0,stage-4-slm\slm\adapters\qwen_raw_lora_r16_lr2e4,COMPLETED
qwen_filtered_lora_r16_lr2e4,Qwen2.5-1.5B-Instruct,main,filtered_lora,95d684c0940be3475375c69fc99a17f42b424d95ebc5a102cf608fa0889a1b2d,1.0.0,cl100k_base,16,32,0.05,0.0002,2,42,3996,849,861,0.0,0.0,stage-4-slm\slm\adapters\qwen_filtered_lora_r16_lr2e4,COMPLETED
qwen_filtered_lora_r8_lr1e4,Qwen2.5-1.5B-Instruct,main,filtered_lora,95d684c0940be3475375c69fc99a17f42b424d95ebc5a102cf608fa0889a1b2d,1.0.0,cl100k_base,8,16,0.05,0.0001,2,42,3996,849,861,0.0,0.0,stage-4-slm\slm\adapters\qwen_filtered_lora_r8_lr1e4,COMPLETED
llama_zero_shot,Llama-3.2-3B-Instruct,main,zero_shot,95d684c0940be3475375c69fc99a17f42b424d95ebc5a102cf608fa0889a1b2d,1.0.0,cl100k_base,0,0,0.0,0.0,0,42,0,0,861,0.0,0.0,none,COMPLETED
llama_raw_lora_r16_lr2e4,Llama-3.2-3B-Instruct,main,raw_lora,95d684c0940be3475375c69fc99a17f42b424d95ebc5a102cf608fa0889a1b2d,1.0.0,cl100k_base,16,32,0.05,0.0002,2,42,4037,849,861,0.0,0.0,stage-4-slm\slm\adapters\llama_raw_lora_r16_lr2e4,COMPLETED
llama_filtered_lora_r16_lr2e4,Llama-3.2-3B-Instruct,main,filtered_lora,95d684c0940be3475375c69fc99a17f42b424d95ebc5a102cf608fa0889a1b2d,1.0.0,cl100k_base,16,32,0.05,0.0002,2,42,3996,849,861,0.0,0.0,stage-4-slm\slm\adapters\llama_filtered_lora_r16_lr2e4,COMPLETED
