epoch,training_loss,validation_loss,selection_score
1,0.8105904192583901,0.506540834903717,0.9533783112146496
2,0.29838928537709375,0.16852732002735138,0.9736742181149189
3,0.13502557673624585,0.09895402193069458,0.966794057757315
4,0.08798869175570352,0.09250049293041229,0.9606458873414923
5,0.0904907499040876,0.07289750128984451,0.9797630977672666
6,0.06105820621762957,0.05839119479060173,0.9865189795678596
7,0.05819081493786403,0.09165915101766586,0.9732289986340303
8,0.06736365735530853,0.05258243530988693,0.993327327928469
9,0.0540464458401714,0.05399423465132713,0.9866659999333267
10,0.045759041351931436,0.051198069006204605,0.9865189795678596
11,0.04068670487297433,0.05792013928294182,0.9798600228558619
12,0.04565586940518447,0.047820430248975754,0.9865189795678596
13,0.04118410423398018,0.04743082821369171,0.9865940295898686
14,0.03912700565265758,0.046701595187187195,0.9865940295898686
