epoch,training_loss,validation_loss,selection_score
1,0.7491296746049608,0.43653371930122375,0.9456043956043957
2,0.26483657547405787,0.15664322674274445,0.9799843014128728
3,0.11485408459390913,0.08669781684875488,0.9798600228558619
4,0.0877747889501708,0.07024746388196945,0.9867863141059018
5,0.07736976036003658,0.08149830251932144,0.967094639134552
6,0.06081816217729023,0.0654006078839302,0.9731211423614586
7,0.05075409919023514,0.05737845227122307,0.9799786324786325
8,0.0401783133830343,0.0486026257276535,0.993327327928469
9,0.04616942431245531,0.04600309208035469,0.9865189795678596
10,0.0480627195749964,0.05310186371207237,0.9802370432709165
11,0.046502604165247506,0.04534004256129265,1.0
12,0.04106226085019963,0.045510850846767426,0.9865189795678596
13,0.03833895280957222,0.043468356132507324,0.9865189795678596
14,0.03952686351857015,0.043527111411094666,0.993327327928469
15,0.03192315559302058,0.04347231239080429,0.9865189795678596
