epoch,training_loss,validation_loss,selection_score
1,1.4349246229246497,1.3894073963165283,-1.3894073963165283
2,1.3732118575424173,1.3891563415527344,-1.3891563415527344
3,1.3800533177717678,1.3883049488067627,-1.3883049488067627
4,1.3750842067430604,1.3879846334457397,-1.3879846334457397
5,1.3757256527251533,1.3884248733520508,-1.3884248733520508
6,1.3709845477160938,1.3874094486236572,-1.3874094486236572
7,1.3823847879692155,1.3928589820861816,-1.3928589820861816
8,1.3733829263332793,1.3883211612701416,-1.3883211612701416
9,1.3732410987679602,1.389471173286438,-1.389471173286438
10,1.366421233759909,1.3876729011535645,-1.3876729011535645
11,1.3678689817904734,1.3868513107299805,-1.3868513107299805
12,1.369753203994131,1.3868660926818848,-1.3868660926818848
13,1.365303929381516,1.3870365619659424,-1.3870365619659424
14,1.3727248884596914,1.3874409198760986,-1.3874409198760986
15,1.3630727787322334,1.386620283126831,-1.386620283126831
16,1.36472749710083,1.3870601654052734,-1.3870601654052734
17,1.3698229211854311,1.387152075767517,-1.387152075767517
18,1.367049261862723,1.3869240283966064,-1.3869240283966064
19,1.3670211724169195,1.3870357275009155,-1.3870357275009155
20,1.3734402307059146,1.3864986896514893,-1.3864986896514893
21,1.3753179510722833,1.3867926597595215,-1.3867926597595215
22,1.3702159498876343,1.387093186378479,-1.387093186378479
23,1.3717110387126663,1.386648416519165,-1.386648416519165
24,1.3676553705088113,1.386272668838501,-1.386272668838501
25,1.361958583657385,1.3857027292251587,-1.3857027292251587
26,1.363022675881019,1.386492371559143,-1.386492371559143
27,1.3654013662795024,1.3860666751861572,-1.3860666751861572
28,1.3670626209159376,1.3861546516418457,-1.3861546516418457
29,1.3685205782099974,1.3869514465332031,-1.3869514465332031
30,1.3697802311104164,1.3864909410476685,-1.3864909410476685
31,1.37328759558142,1.3867135047912598,-1.3867135047912598
