epoch,training_loss,validation_loss,selection_score
1,1.4309026326427265,1.067012906074524,-1.067012906074524
2,0.813434307218809,0.5731712579727173,-0.5731712579727173
3,0.46745553720845195,0.4165147840976715,-0.4165147840976715
4,0.35483601230841416,0.33625468611717224,-0.33625468611717224
5,0.3128939873507822,0.3083239793777466,-0.3083239793777466
6,0.2936927745408001,0.30020228028297424,-0.30020228028297424
7,0.29118251220927355,0.358709454536438,-0.358709454536438
8,0.28341986306000866,0.296333372592926,-0.296333372592926
9,0.26947263216245676,0.3261657655239105,-0.3261657655239105
10,0.27491481721141686,0.28551214933395386,-0.28551214933395386
11,0.2729810681761782,0.293695330619812,-0.293695330619812
12,0.2747771891350324,0.32476791739463806,-0.32476791739463806
13,0.2780923264639125,0.3276011049747467,-0.3276011049747467
14,0.2745818083967976,0.28840041160583496,-0.28840041160583496
15,0.27056808875676336,0.29700514674186707,-0.29700514674186707
16,0.2610949362224003,0.28975909948349,-0.28975909948349
