epoch,training_loss,validation_loss,selection_score
1,0.6167204348530089,0.24506190419197083,0.9201298562267827
2,0.13293589285441806,0.11876331269741058,0.9465755901262143
3,0.07443977180868387,0.1192195862531662,0.9399966663333
4,0.07684479453733989,0.11966165155172348,0.9467867146858744
5,0.058913845451814786,0.1140035092830658,0.9401230608890848
6,0.05182084921215262,0.11140360683202744,0.94006267293396
7,0.044971947095223834,0.1304933726787567,0.9465979940363242
8,0.04335315687315804,0.116295725107193,0.9401899373610831
9,0.04420058969940458,0.1156109869480133,0.9468275711066253
10,0.03260963106261832,0.11025422066450119,0.9465199413098574
11,0.0320196524475302,0.1206408217549324,0.9467531989875585
12,0.03002061932214669,0.11618304997682571,0.9532905982905984
13,0.026694644008363997,0.11855578422546387,0.9467531989875585
14,0.028218487203121187,0.11799784004688263,0.9534030784030784
15,0.022080956537808692,0.11832032352685928,0.9467531989875585
