epoch,training_loss,validation_loss,selection_score
1,1.0725949464525495,1.086742639541626,0.20665445665445661
2,1.0153174591064453,0.9979917407035828,0.4244338323285692
3,0.9345439335278102,0.9171252250671387,0.6569671233543426
4,0.8468733835220337,0.8789060711860657,0.5680184785316199
5,0.7701398883547101,0.8098028302192688,0.7066350839935746
6,0.7016935409818377,0.817703366279602,0.5205235310498467
7,0.6108073946407863,0.7519990801811218,0.7201705029838023
8,0.5610797819069454,0.8551391363143921,0.5957506077988005
9,0.559237254176821,0.738853394985199,0.6890852726632821
10,0.4998784518241882,0.7368318438529968,0.6934407814407814
11,0.48038455298968724,0.705966591835022,0.745063989180463
12,0.45577585799353465,0.7065451741218567,0.7311070674622941
13,0.4457101021494184,0.7116842865943909,0.7176786261568884
14,0.431240268264498,0.70098477602005,0.7450210378681626
15,0.42444431696619306,0.701833963394165,0.7450210378681626
